Date,Open,High,Low,Close,Volume,Open Interest
1/9/2019 0:00,890.26,897.25,888.61,896.99,1.22E+08,65131
1/10/2019 0:00,897.85,899.47,895.17,898.3,1.02E+08,60024
1/11/2019 0:00,899.1,904.37,899.1,902.71,1.08E+08,65750
1/14/2019 0:00,903.83,903.83,897.18,901.8,1.03E+08,58082
1/15/2019 0:00,901.21,909.68,898.92,909.68,1.06E+08,64966
1/16/2019 0:00,911.32,912.48,906.39,908.7,1.08E+08,61516
1/17/2019 0:00,908.48,909.06,901.89,901.89,1.17E+08,59134
1/18/2019 0:00,902.7,906.35,900.64,902.3,9.82E+07,56338
1/21/2019 0:00,905.25,911.74,903.09,911.05,1.19E+08,66086
1/22/2019 0:00,912.73,913.37,906.55,906.55,1.22E+08,64515
1/23/2019 0:00,905.73,910.12,905.12,908.18,1.05E+08,58812
1/24/2019 0:00,908.56,910.59,906.59,908.79,9.36E+07,54480
1/25/2019 0:00,908.86,911.59,907.96,908.88,9.49E+07,57310
1/28/2019 0:00,912.53,913.43,908.9,912.18,1.05E+08,54550
1/29/2019 0:00,913.67,915.93,907.09,915.93,9.71E+07,54530
1/30/2019 0:00,914.08,917.8,913.48,915.84,1.02E+08,55765
1/31/2019 0:00,919.12,920.36,910.38,910.65,1.10E+08,61076
2/1/2019 0:00,911.98,912.81,907.52,908.67,1.01E+08,48855
2/11/2019 0:00,916.98,926.1,915.86,926.1,1.05E+08,70826
2/12/2019 0:00,930.37,938.64,926.98,937.54,1.72E+08,95210
2/13/2019 0:00,937.61,945.25,937.34,945.25,1.76E+08,93624
2/14/2019 0:00,946.54,953.66,945.99,952.34,1.57E+08,83567
2/15/2019 0:00,951.9,955.4,948.26,950.89,1.45E+08,81101
2/18/2019 0:00,954.85,961.3,953.32,961.3,1.69E+08,85630
2/19/2019 0:00,962.84,971.92,962.81,964.35,1.95E+08,104365
2/20/2019 0:00,963.29,972.75,963.29,970.58,1.45E+08,81098
2/21/2019 0:00,972.82,987.57,970.31,987.57,1.63E+08,89703
2/22/2019 0:00,983.99,993.16,982.86,988.91,1.99E+08,102019
2/25/2019 0:00,996.06,999.9,992.72,994.43,1.81E+08,100210
2/26/2019 0:00,991.63,996.44,979.24,987.06,2.10E+08,107426
2/27/2019 0:00,989.61,994.46,988.09,990.27,2.05E+08,95388
2/28/2019 0:00,989.84,990.25,965.47,965.47,1.97E+08,108904
3/1/2019 0:00,971.05,980.82,970.54,979.63,1.48E+08,80107
3/4/2019 0:00,983.5,994.46,983.33,993.99,2.10E+08,111918
3/5/2019 0:00,990.08,1000.25,987.92,992.45,2.43E+08,122268
3/6/2019 0:00,993.01,994.49,985.51,994.49,1.90E+08,125221
3/7/2019 0:00,995.65,1004.55,994.03,994.03,1.88E+08,103338
3/8/2019 0:00,987.89,991.98,984.48,985.25,1.76E+08,95791
3/11/2019 0:00,982.94,987.11,981.34,984.6,1.43E+08,79010
3/12/2019 0:00,991.14,1001.32,990.46,1001.32,1.80E+08,103592
3/13/2019 0:00,1003.75,1009.77,1003.01,1005.41,1.98E+08,111009
3/14/2019 0:00,1006.37,1011.39,1002.09,1008.44,1.83E+08,101420
3/15/2019 0:00,1008.22,1008.22,1001.1,1004.12,2.07E+08,105337
3/18/2019 0:00,1007.92,1013.29,1007.92,1011.86,1.88E+08,107360
3/19/2019 0:00,1013.75,1014.51,1004.22,1006.59,1.99E+08,113082
3/20/2019 0:00,1002.86,1003.25,992.02,1002.3,1.80E+08,101055
3/21/2019 0:00,1005.12,1006.37,981.78,981.78,1.83E+08,107535
3/22/2019 0:00,984.9,990.07,981.3,988.71,1.52E+08,89812
3/25/2019 0:00,976.53,976.53,964.76,970.07,1.78E+08,101189
3/26/2019 0:00,975.44,978.99,966.9,969.79,1.37E+08,76522
3/27/2019 0:00,976.67,979.32,972.25,975.91,1.13E+08,68203
3/28/2019 0:00,973.44,983.18,972.6,982.98,1.22E+08,73087
3/29/2019 0:00,985.35,988.24,980.76,980.76,1.32E+08,72161
4/1/2019 0:00,984.89,988.53,982.8,988.53,1.37E+08,78724
4/2/2019 0:00,994.87,996.41,985.48,985.81,1.39E+08,81890
4/3/2019 0:00,984.74,985.26,980.3,984.46,1.29E+08,75372
4/4/2019 0:00,987.47,989.08,982.94,986.91,1.32E+08,77539
4/5/2019 0:00,988.09,990.38,986.39,989.26,1.30E+08,77849
4/8/2019 0:00,991.65,997.56,989.33,997.56,1.47E+08,86522
4/9/2019 0:00,999.89,1000.02,987.82,988.48,1.52E+08,98052
4/10/2019 0:00,984.79,987.27,976.83,981.91,1.36E+08,85277
4/11/2019 0:00,984.46,985.95,981.06,985.95,1.18E+08,69290
4/12/2019 0:00,984.66,984.69,980.26,982.9,1.12E+08,69529
4/16/2019 0:00,970.87,978.53,963.06,977.17,1.31E+08,82472
4/17/2019 0:00,978.21,980.71,972.1,972.1,1.48E+08,88152
4/18/2019 0:00,969.5,973.73,962.05,962.3,1.37E+08,82807
4/19/2019 0:00,968.27,971.73,965.46,966.21,9.61E+07,59551
4/22/2019 0:00,963.78,966.69,959.33,965.86,1.16E+08,74365
4/23/2019 0:00,964.84,970.98,964.35,968,1.13E+08,70913
4/24/2019 0:00,969.66,978.71,969.66,976.92,1.21E+08,70967
4/25/2019 0:00,976.46,976.46,971.92,974.13,1.12E+08,67348
4/26/2019 0:00,972.86,979.64,970.73,979.64,1.07E+08,63666
5/2/2019 0:00,978.81,979.93,975.51,978.5,1.24E+08,72414
5/3/2019 0:00,976.77,977.13,971.75,974.14,1.28E+08,73886
5/6/2019 0:00,964.37,964.89,955.41,957.97,1.34E+08,82911
5/7/2019 0:00,961.31,965.61,955.42,957.56,1.18E+08,71758
5/8/2019 0:00,950.1,953.88,947.86,951.22,1.16E+08,73708
